2026-01-06 13:18:27.150 +00:00 [WRN] Failed to determine the https port for redirect.
2026-01-06 13:18:27.210 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 86.1735 ms
2026-01-06 13:18:27.211 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 86.0531 ms
2026-01-06 13:18:27.211 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 86.0972 ms
2026-01-06 13:18:27.210 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 86.0565 ms
2026-01-06 13:18:27.400 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 401 in 140.0334 ms
2026-01-06 13:18:27.407 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/refresh responded 204 in 0.0736 ms
2026-01-06 13:18:27.412 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 401 in 7.5159 ms
2026-01-06 13:18:27.425 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 401 in 3.5292 ms
2026-01-06 13:18:27.432 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 401 in 2.2256 ms
2026-01-06 13:18:29.449 +00:00 [INF] HTTP POST /api/v1/Auth/refresh responded 401 in 2029.3524 ms
2026-01-06 13:18:29.449 +00:00 [INF] HTTP POST /api/v1/Auth/refresh responded 401 in 2024.7359 ms
2026-01-06 13:18:29.449 +00:00 [INF] HTTP POST /api/v1/Auth/refresh responded 401 in 2015.7058 ms
2026-01-06 13:18:29.449 +00:00 [INF] HTTP POST /api/v1/Auth/refresh responded 401 in 2012.1765 ms
2026-01-06 13:23:10.441 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/login responded 204 in 0.1929 ms
2026-01-06 13:23:11.064 +00:00 [INF] HTTP POST /api/v1/Auth/login responded 200 in 619.4766 ms
2026-01-06 13:23:11.090 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.2183 ms
2026-01-06 13:23:11.136 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 41.3309 ms
2026-01-06 13:23:11.146 +00:00 [INF] HTTP OPTIONS /api/v1/Employee/21816 responded 204 in 0.3201 ms
2026-01-06 13:23:11.514 +00:00 [WRN] No store type was specified for the decimal property 'Rate' on entity type 'EmployeePayHistory'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2026-01-06 13:23:11.603 +00:00 [WRN] Compiling a query which loads related collections for more than one collection navigation, either via 'Include' or through projection, but no 'QuerySplittingBehavior' has been configured. By default, Entity Framework will use 'QuerySplittingBehavior.SingleQuery', which can potentially result in slow query performance. See https://go.microsoft.com/fwlink/?linkid=2134277 for more information. To identify the query that's triggering this warning call 'ConfigureWarnings(w => w.Throw(RelationalEventId.MultipleCollectionIncludeWarning))'.
2026-01-06 13:23:12.108 +00:00 [INF] HTTP GET /api/v1/Employee/21816 responded 200 in 957.5582 ms
2026-01-06 13:23:59.973 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/logout responded 204 in 0.1801 ms
2026-01-06 13:24:00.024 +00:00 [INF] HTTP POST /api/v1/Auth/logout responded 200 in 48.7544 ms
2026-01-06 13:24:35.706 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/login responded 204 in 0.4039 ms
2026-01-06 13:24:35.860 +00:00 [INF] HTTP POST /api/v1/Auth/login responded 200 in 151.4350 ms
2026-01-06 13:24:35.874 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.1033 ms
2026-01-06 13:24:35.881 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 1.6557 ms
2026-01-06 13:24:35.899 +00:00 [INF] HTTP OPTIONS /api/v1/Employee/21815 responded 204 in 0.1181 ms
2026-01-06 13:24:35.924 +00:00 [INF] HTTP GET /api/v1/Employee/21815 responded 200 in 21.6699 ms
2026-01-06 13:25:01.421 +00:00 [INF] HTTP OPTIONS /api/v1/Employee responded 204 in 0.2262 ms
2026-01-06 13:25:01.525 +00:00 [WRN] The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. If the 'Distinct' operator is used after 'OrderBy', then make sure to use the 'OrderBy' operator after 'Distinct' as the ordering would otherwise get erased.
2026-01-06 13:25:01.561 +00:00 [INF] HTTP GET /api/v1/Employee responded 200 in 132.6805 ms
2026-01-06 13:25:01.573 +00:00 [INF] HTTP GET /api/v1/Employee responded 200 in 7.5073 ms
2026-01-06 13:25:12.944 +00:00 [INF] HTTP OPTIONS /api/v1/Employee/15 responded 204 in 0.0357 ms
2026-01-06 13:25:12.944 +00:00 [INF] HTTP OPTIONS /api/v1/Employee/15 responded 204 in 0.2218 ms
2026-01-06 13:25:13.023 +00:00 [INF] HTTP GET /api/v1/Employee/15 responded 200 in 69.4858 ms
2026-01-06 13:25:13.031 +00:00 [INF] HTTP GET /api/v1/Employee/15 responded 200 in 5.5095 ms
2026-01-06 13:25:22.199 +00:00 [INF] HTTP OPTIONS /api/v1/Employee responded 204 in 0.2664 ms
2026-01-06 13:25:22.199 +00:00 [INF] HTTP OPTIONS /api/v1/Employee responded 204 in 0.3036 ms
2026-01-06 13:25:22.223 +00:00 [INF] HTTP GET /api/v1/Employee responded 200 in 20.6053 ms
2026-01-06 13:25:22.240 +00:00 [INF] HTTP GET /api/v1/Employee responded 200 in 10.3233 ms
2026-01-06 13:25:38.146 +00:00 [INF] HTTP OPTIONS /api/v1/Opening responded 204 in 0.1954 ms
2026-01-06 13:25:38.147 +00:00 [INF] HTTP OPTIONS /api/v1/Opening responded 204 in 0.0300 ms
2026-01-06 13:25:38.189 +00:00 [INF] HTTP GET /api/v1/Opening responded 200 in 39.7658 ms
2026-01-06 13:25:38.193 +00:00 [INF] HTTP GET /api/v1/Opening responded 200 in 2.2378 ms
2026-01-06 13:26:01.909 +00:00 [INF] HTTP OPTIONS /api/v1/Opening responded 204 in 0.1256 ms
2026-01-06 13:26:01.962 +00:00 [INF] HTTP POST /api/v1/Opening responded 201 in 50.3108 ms
2026-01-06 13:26:02.004 +00:00 [INF] HTTP GET /api/v1/Opening responded 200 in 9.1427 ms
2026-01-06 13:26:02.010 +00:00 [INF] HTTP GET /api/v1/Opening responded 200 in 2.4527 ms
2026-01-06 13:26:19.416 +00:00 [INF] HTTP OPTIONS /api/v1/Opening responded 204 in 0.1796 ms
2026-01-06 13:26:19.417 +00:00 [INF] HTTP OPTIONS /api/v1/Opening responded 204 in 0.0265 ms
